iter	Logloss
0	0.6801926175
1	0.6690233746
2	0.6605747141
3	0.6532695521
4	0.6476206539
5	0.6426136874
6	0.6390432491
7	0.6362036487
8	0.6333164948
9	0.6311179348
10	0.6291344765
11	0.6275864735
12	0.6258112456
13	0.6241863937
14	0.6228892144
15	0.6222388748
16	0.6214743323
17	0.6203914918
18	0.6198762186
19	0.6191719512
20	0.6186518043
21	0.6179112424
22	0.6172178189
23	0.6167268924
24	0.6163596368
25	0.6155130579
26	0.6150664045
27	0.6146363171
28	0.6143450099
29	0.6140355192
30	0.613689091
31	0.6133944785
32	0.6128761343
33	0.6126178969
34	0.6121515271
35	0.6117794208
36	0.611515607
37	0.6112353626
38	0.6108894871
39	0.6105393011
40	0.6102934952
41	0.6100680258
42	0.6097401642
43	0.609472702
44	0.6092216442
45	0.6088302738
46	0.6087098567
47	0.6083894782
48	0.6081867614
49	0.6080011614
50	0.6077428785
51	0.6075390108
52	0.6072513025
53	0.6069838501
54	0.6068547058
55	0.6065819165
56	0.6063281202
57	0.6061519676
58	0.6059149203
59	0.6055944542
60	0.6054348228
61	0.605268159
62	0.6050679624
63	0.6048628683
64	0.6046561622
65	0.6045171884
66	0.6043473451
67	0.6042164473
68	0.6040636511
69	0.603867858
70	0.6036772567
71	0.6034179246
72	0.6033079416
73	0.6031639548
74	0.6030544392
75	0.6029097773
76	0.6027156201
77	0.6025058616
78	0.602350438
79	0.6022351507
80	0.6020660387
81	0.6017898236
82	0.6016256685
83	0.6015577797
84	0.6013311377
85	0.6010778684
86	0.6007992926
87	0.6005958899
88	0.6004715349
89	0.6001987552
90	0.6000612413
91	0.5998892552
92	0.5997488926
93	0.5996185685
94	0.5994450229
95	0.5992753964
96	0.5990873081
97	0.5989071558
98	0.5987688891
99	0.5986442906
