iter	Passed	Remaining
0	271	26841
1	381	18691
2	421	13623
3	450	10811
4	476	9049
5	509	7975
6	539	7161
7	568	6533
8	642	6497
9	682	6143
10	713	5770
11	741	5439
12	773	5178
13	802	4930
14	831	4712
15	850	4464
16	878	4290
17	909	4143
18	940	4007
19	968	3872
20	996	3750
21	1027	3642
22	1056	3535
23	1088	3445
24	1120	3362
25	1153	3283
26	1183	3200
27	1211	3114
28	1243	3043
29	1269	2962
30	1298	2889
31	1329	2825
32	1359	2759
33	1387	2693
34	1414	2627
35	1442	2563
36	1473	2508
37	1501	2449
38	1531	2394
39	1560	2340
40	1599	2301
41	1647	2275
42	1725	2287
43	1782	2269
44	1812	2215
45	1841	2161
46	1871	2110
47	1905	2064
48	1936	2015
49	1964	1964
50	2064	1983
51	2143	1978
52	2179	1933
53	2211	1883
54	2240	1833
55	2271	1784
56	2300	1735
57	2329	1686
58	2359	1639
59	2392	1594
60	2420	1547
61	2452	1503
62	2481	1457
63	2510	1412
64	2544	1369
65	2584	1331
66	2644	1302
67	2675	1258
68	2702	1214
69	2731	1170
70	2761	1127
71	2791	1085
72	2818	1042
73	2846	999
74	2876	958
75	2906	917
76	2936	877
77	2964	836
78	2991	795
79	3019	754
80	3051	715
81	3081	676
82	3112	637
83	3190	607
84	3272	577
85	3308	538
86	3342	499
87	3370	459
88	3399	420
89	3427	380
90	3452	341
91	3484	302
92	3513	264
93	3541	226
94	3571	187
95	3617	150
96	3703	114
97	3750	76
98	3786	38
99	3822	0
